ticket_id,subject,description,category,priority,status,channel,created_at,resolution_time_hours,customer_satisfaction,is_synthetic
SYN-00796,Password question,"Hello support, my password reset link expired. Please help me resolve this soon.",Account Access,Low,Open,Web,2024-10-21T15:00:00,7,1,True
SYN-01319,Plan request,"Hello support, my plan which plan includes it. Please help me resolve this today.",Product Inquiry,Critical,Open,Chat,2024-01-28T10:00:00,24,2,True
SYN-01049,Return help,"Hello support, my return want my money back. Please help me resolve this today.",Refund Request,Critical,Closed,Email,2024-02-18T23:00:00,10,5,True
SYN-01312,Feature question,"Hello support, my feature which plan includes it. Please help me resolve this today.",Product Inquiry,Medium,Closed,Web,2024-08-27T08:00:00,14,3,True
SYN-01964,Guidance question,"Hello support, my guidance please contact me. Please help me resolve this soon.",General Support,Critical,Resolved,Web,2024-03-02T01:00:00,7,4,True
SYN-00333,Charged problem,"Hello support, my charged was charged twice. Please help me resolve this today.",Billing Inquiry,High,Open,Email,2024-05-23T07:00:00,63,2,True
SYN-00845,Account help,"Hello support, my account reset link expired. Please help me resolve this today.",Account Access,Low,Resolved,Email,2024-03-03T11:00:00,105,1,True
SYN-00169,Update help,"Hello support, my update stopped working. Please help me resolve this when possible.",Technical Issue,Low,Pending,Chat,2024-01-22T10:00:00,15,3,True
SYN-00870,Locked request,"Hello support, my locked reset link expired. Please help me resolve this when possible.",Account Access,Low,Pending,Phone,2024-01-23T07:00:00,76,5,True
SYN-01355,Product request,"Hello support, my product is this supported. Please help me resolve this soon.",Product Inquiry,High,Pending,Chat,2024-10-17T05:00:00,117,4,True
SYN-00087,Error question,"Hello support, my error keeps failing. Please help me resolve this when possible.",Technical Issue,Low,Pending,Web,2024-09-18T00:00:00,87,5,True
SYN-00091,Crash request,"Hello support, my crash stopped working. Please help me resolve this when possible.",Technical Issue,High,Closed,Web,2024-05-21T01:00:00,7,1,True
SYN-00040,Update request,"Hello support, my update keeps failing. Please help me resolve this today.",Technical Issue,Critical,Resolved,Phone,2024-10-20T01:00:00,61,2,True
SYN-00817,Verification request,"Hello support, my verification cannot sign in. Please help me resolve this soon.",Account Access,High,Closed,Chat,2024-02-25T01:00:00,37,5,True
SYN-02084,Support request,"Hello support, my support where can I find help. Please help me resolve this today.",General Support,Medium,Closed,Chat,2024-02-27T02:00:00,59,4,True
SYN-00890,Login question,"Hello support, my login account is locked. Please help me resolve this today.",Account Access,Low,Pending,Phone,2024-01-04T09:00:00,10,4,True
SYN-01269,Feature help,"Hello support, my feature need more information. Please help me resolve this today.",Product Inquiry,Low,Pending,Email,2024-06-21T04:00:00,93,5,True
SYN-01686,Delivery request,"Hello support, my delivery went to wrong address. Please help me resolve this soon.",Shipping Issue,Low,Resolved,Chat,2024-11-15T23:00:00,91,4,True
SYN-01970,Question question,"Hello support, my question need some assistance. Please help me resolve this today.",General Support,Critical,Closed,Web,2024-02-29T16:00:00,20,4,True
SYN-00190,Device request,"Hello support, my device shows an error. Please help me resolve this today.",Technical Issue,Critical,Open,Email,2024-02-13T19:00:00,113,5,True
SYN-01551,Package help,"Hello support, my package has not arrived. Please help me resolve this when possible.",Shipping Issue,High,Open,Web,2024-06-29T15:00:00,63,4,True
SYN-00763,Login problem,"Hello support, my login cannot sign in. Please help me resolve this soon.",Account Access,High,Open,Web,2024-10-20T09:00:00,115,3,True
SYN-00160,Update request,"Hello support, my update will not start. Please help me resolve this when possible.",Technical Issue,Critical,Open,Web,2024-02-25T09:00:00,24,3,True
SYN-00136,Screen request,"Hello support, my screen keeps failing. Please help me resolve this when possible.",Technical Issue,Critical,Open,Chat,2024-03-02T22:00:00,112,1,True
SYN-01117,Cancel problem,"Hello support, my cancel cancel this order. Please help me resolve this today.",Refund Request,Critical,Resolved,Chat,2024-11-01T08:00:00,24,4,True
